                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.74284,                0.92492,                 1.2516,                0.79683,                0.79368,                0.84406,                0.67102,                0.77242,                0.68952,                 1.4604,               0.008974,               0.008974,               0.008974
                    117,                0.74628,                0.91703,                 1.2537,                0.77386,                0.81826,                0.84435,                 0.6704,                0.77417,                0.68953,                 1.4622,               0.008965,               0.008965,               0.008965
                    118,                0.73459,                 0.8926,                 1.2449,                0.78053,                0.81312,                0.84406,                0.67089,                0.77339,                0.68953,                 1.4605,               0.008956,               0.008956,               0.008956
                    119,                 0.7444,                0.91608,                 1.2491,                0.78175,                0.80966,                0.84388,                0.67076,                0.77315,                0.68925,                  1.463,               0.008947,               0.008947,               0.008947
                    120,                0.74762,                0.93513,                 1.2587,                 0.7815,                0.81028,                 0.8442,                0.66967,                0.77304,                0.68649,                 1.4635,               0.008938,               0.008938,               0.008938
                    121,                0.74257,                0.92344,                 1.2514,                0.77888,                0.81094,                0.84398,                 0.6695,                0.77372,                0.68661,                  1.464,               0.008929,               0.008929,               0.008929
                    122,                0.74966,                0.91905,                 1.2566,                0.79253,                0.80318,                0.84394,                0.66901,                0.77409,                0.68678,                 1.4643,                0.00892,                0.00892,                0.00892
                    123,                0.73665,                0.92693,                  1.249,                0.78731,                0.80635,                0.84364,                0.66928,                0.77269,                0.68626,                 1.4625,               0.008911,               0.008911,               0.008911
                    124,                0.74269,                0.91084,                 1.2529,                0.80447,                0.79144,                0.84479,                0.67067,                0.77309,                0.68594,                 1.4624,               0.008902,               0.008902,               0.008902
                    125,                0.74561,                0.91606,                 1.2534,                0.80587,                0.79207,                0.84481,                0.67059,                0.77372,                0.68439,                 1.4635,               0.008893,               0.008893,               0.008893
                    126,                0.74188,                0.92884,                 1.2532,                0.80271,                0.79713,                0.84473,                0.67083,                0.77415,                0.68545,                  1.464,               0.008884,               0.008884,               0.008884
                    127,                0.74456,                0.92001,                 1.2535,                0.80719,                0.79151,                 0.8453,                0.67065,                0.77378,                0.68423,                 1.4636,               0.008875,               0.008875,               0.008875
                    128,                 0.7414,                  0.922,                 1.2513,                0.79036,                0.80738,                0.84514,                0.67076,                0.77391,                0.68524,                 1.4641,               0.008866,               0.008866,               0.008866
                    129,                0.73922,                0.92081,                 1.2521,                0.78098,                0.81383,                0.84504,                0.67071,                0.77347,                0.68466,                 1.4637,               0.008857,               0.008857,               0.008857
                    130,                0.74196,                0.90836,                 1.2503,                0.78856,                0.80361,                 0.8453,                0.66997,                0.77351,                0.68554,                 1.4639,               0.008848,               0.008848,               0.008848
                    131,                0.74476,                0.90847,                  1.253,                0.79198,                0.80032,                 0.8454,                0.66968,                 0.7733,                  0.686,                 1.4633,               0.008839,               0.008839,               0.008839
                    132,                0.73499,                0.89609,                 1.2483,                0.78765,                0.80726,                0.84494,                0.67027,                0.77293,                0.68674,                 1.4633,                0.00883,                0.00883,                0.00883
                    133,                0.74084,                0.90743,                  1.249,                0.78561,                 0.8112,                0.84511,                0.67113,                0.77312,                0.68795,                 1.4638,               0.008821,               0.008821,               0.008821
                    134,                0.74164,                0.91332,                   1.25,                0.78386,                0.81503,                0.84578,                0.67154,                0.77336,                0.68853,                 1.4636,               0.008812,               0.008812,               0.008812
                    135,                0.74178,                0.90963,                 1.2495,                0.78485,                   0.81,                0.84605,                 0.6716,                0.77374,                0.68664,                 1.4645,               0.008803,               0.008803,               0.008803
                    136,                0.73683,                0.90976,                 1.2467,                0.80229,                0.79054,                0.84591,                0.67069,                0.77476,                0.68792,                 1.4652,               0.008794,               0.008794,               0.008794
                    137,                0.74554,                0.89592,                 1.2517,                0.79941,                0.79654,                0.84658,                 0.6717,                0.77488,                0.68672,                 1.4658,               0.008785,               0.008785,               0.008785
                    138,                0.70771,                0.82514,                 1.2264,                0.79062,                0.80627,                0.84698,                0.67197,                0.77462,                0.68684,                 1.4653,               0.008776,               0.008776,               0.008776
                    139,                0.72176,                0.85715,                 1.2334,                0.80207,                0.79442,                0.84666,                0.67133,                0.77426,                0.68725,                 1.4663,               0.008767,               0.008767,               0.008767
                    140,                0.72227,                0.87454,                 1.2412,                0.80003,                0.79899,                0.84632,                0.67088,                0.77413,                0.68866,                 1.4665,               0.008758,               0.008758,               0.008758
                    141,                0.72069,                0.86825,                 1.2366,                0.80499,                0.79302,                0.84597,                 0.6711,                0.77444,                0.68949,                 1.4665,               0.008749,               0.008749,               0.008749
                    142,                 0.7273,                 0.8672,                 1.2415,                 0.8072,                0.79129,                0.84637,                 0.6711,                0.77463,                0.68895,                 1.4666,                0.00874,                0.00874,                0.00874
                    143,                0.71912,                0.87798,                 1.2368,                0.80736,                0.79161,                 0.8459,                0.67036,                0.77468,                 0.6897,                 1.4666,               0.008731,               0.008731,               0.008731
                    144,                0.72409,                0.86598,                 1.2407,                0.81033,                0.78906,                0.84608,                0.67091,                0.77509,                0.68926,                  1.467,               0.008722,               0.008722,               0.008722
                    145,                0.72874,                0.87073,                 1.2431,                0.80735,                0.79331,                 0.8466,                 0.6718,                0.77544,                0.68867,                 1.4676,               0.008713,               0.008713,               0.008713
                    146,                0.72572,                0.89028,                 1.2423,                0.80778,                0.79123,                0.84606,                0.67167,                0.77551,                0.68904,                 1.4677,               0.008704,               0.008704,               0.008704
                    147,                0.72886,                0.87654,                 1.2435,                0.80604,                0.79507,                0.84625,                0.67168,                0.77608,                0.68936,                 1.4683,               0.008695,               0.008695,               0.008695
                    148,                0.72853,                0.88192,                 1.2433,                 0.8029,                0.79835,                0.84639,                0.67133,                0.77618,                0.69031,                 1.4687,               0.008686,               0.008686,               0.008686
                    149,                0.72891,                0.89361,                 1.2448,                0.80027,                0.80012,                0.84664,                0.67132,                0.77634,                0.69084,                 1.4689,               0.008677,               0.008677,               0.008677
                    150,                0.73173,                0.88154,                 1.2429,                0.80294,                0.79769,                0.84663,                0.67132,                0.77661,                0.69119,                 1.4696,               0.008668,               0.008668,               0.008668
                    151,                0.73491,                0.87843,                  1.246,                0.80305,                0.79768,                0.84616,                0.67094,                 0.7771,                0.69135,                   1.47,               0.008659,               0.008659,               0.008659
                    152,                0.72912,                0.87383,                 1.2429,                0.80368,                0.79883,                0.84594,                0.67126,                0.77689,                0.69178,                 1.4697,                0.00865,                0.00865,                0.00865
                    153,                0.73351,                0.88228,                 1.2437,                0.80399,                0.79655,                0.84537,                0.67053,                0.77686,                0.69186,                 1.4699,               0.008641,               0.008641,               0.008641
                    154,                0.73093,                0.89096,                 1.2437,                0.77493,                0.82554,                0.84535,                0.67022,                0.77667,                0.69161,                 1.4697,               0.008632,               0.008632,               0.008632
                    155,                0.73461,                0.89275,                 1.2443,                0.78864,                0.80826,                0.84572,                0.67029,                0.77664,                0.69133,                 1.4699,               0.008623,               0.008623,               0.008623
                    156,                0.72972,                0.88781,                  1.243,                0.79077,                0.80859,                0.84624,                0.67034,                  0.777,                0.69148,                 1.4703,               0.008614,               0.008614,               0.008614
                    157,                  0.737,                0.87703,                 1.2481,                0.79071,                0.81073,                0.84652,                0.67079,                 0.7774,                0.69087,                 1.4708,               0.008605,               0.008605,               0.008605
                    158,                0.73961,                 0.8969,                 1.2463,                0.79071,                0.81202,                0.84652,                0.67075,                0.77717,                0.69094,                 1.4705,               0.008596,               0.008596,               0.008596
                    159,                0.73702,                0.89039,                 1.2441,                0.79714,                0.80784,                0.84674,                0.67043,                 0.7774,                0.69067,                 1.4707,               0.008587,               0.008587,               0.008587
