                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.79217,                 1.0977,                 1.3135,                0.75169,                0.79601,                0.82232,                0.64942,                0.78835,                0.76083,                 1.4798,                0.00946,                0.00946,                0.00946
                     63,                0.79002,                 1.0868,                  1.313,                0.75161,                0.79221,                  0.819,                0.64716,                0.78291,                0.76206,                 1.4622,               0.009451,               0.009451,               0.009451
                     64,                0.78795,                 1.0852,                 1.3125,                0.74875,                0.79061,                0.82349,                0.64877,                0.78248,                0.76003,                 1.4702,               0.009442,               0.009442,               0.009442
                     65,                0.78896,                 1.0838,                 1.3111,                 0.7614,                0.78143,                 0.8225,                0.65177,                0.78169,                0.75865,                 1.4698,               0.009433,               0.009433,               0.009433
                     66,                0.79267,                  1.079,                 1.3144,                0.74283,                0.80583,                0.81959,                0.64492,                0.79278,                0.76884,                 1.4814,               0.009424,               0.009424,               0.009424
                     67,                0.78504,                 1.0703,                 1.3082,                0.77322,                0.75849,                0.81674,                0.64137,                0.79153,                0.76785,                 1.4788,               0.009415,               0.009415,               0.009415
                     68,                0.78179,                 1.0639,                 1.3068,                0.75222,                0.81165,                0.82613,                0.65244,                0.78557,                0.75447,                 1.4769,               0.009406,               0.009406,               0.009406
                     69,                0.78688,                 1.0686,                 1.3101,                0.75876,                0.78519,                0.81913,                0.64275,                0.78978,                 0.7655,                 1.4759,               0.009397,               0.009397,               0.009397
                     70,                0.77925,                 1.0685,                 1.3047,                0.78894,                0.76592,                0.82851,                0.65485,                0.78845,                 0.7585,                 1.4776,               0.009388,               0.009388,               0.009388
                     71,                0.78546,                 1.0619,                 1.3063,                0.76525,                0.78441,                0.82374,                0.64905,                0.78952,                0.76045,                 1.4724,               0.009379,               0.009379,               0.009379
                     72,                0.77705,                  1.057,                 1.2988,                0.76265,                0.79377,                0.82514,                0.64917,                0.79249,                0.75043,                 1.4844,                0.00937,                0.00937,                0.00937
                     73,                0.77988,                 1.0475,                 1.3058,                 0.7755,                0.77435,                0.82329,                0.64847,                0.78779,                0.74476,                 1.4712,               0.009361,               0.009361,               0.009361
                     74,                0.77892,                  1.063,                 1.3024,                0.76545,                0.79032,                 0.8268,                0.65411,                 0.7834,                0.74308,                  1.467,               0.009352,               0.009352,               0.009352
                     75,                0.77958,                  1.047,                 1.3016,                0.77678,                0.79192,                0.83369,                0.65831,                0.78582,                  0.735,                 1.4721,               0.009343,               0.009343,               0.009343
                     76,                0.77532,                 1.0335,                 1.2966,                0.77377,                0.79365,                0.82824,                0.65133,                0.79204,                0.74428,                 1.4815,               0.009334,               0.009334,               0.009334
                     77,                0.78016,                 1.0436,                 1.3005,                0.77253,                0.79542,                0.83054,                0.65717,                0.78358,                0.74118,                 1.4696,               0.009325,               0.009325,               0.009325
                     78,                0.77646,                 1.0419,                 1.2988,                0.77027,                0.79941,                 0.8302,                0.65582,                0.78968,                0.73786,                 1.4757,               0.009316,               0.009316,               0.009316
                     79,                0.77387,                 1.0394,                 1.2942,                0.79843,                0.76954,                0.82956,                0.65437,                0.78875,                0.74281,                 1.4715,               0.009307,               0.009307,               0.009307
                     80,                0.77098,                 1.0458,                 1.2994,                0.78412,                 0.7912,                0.83343,                0.65779,                0.78861,                0.72999,                 1.4711,               0.009298,               0.009298,               0.009298
                     81,                0.77235,                 1.0297,                 1.2942,                0.78202,                0.78657,                0.83309,                0.65857,                0.78613,                0.73643,                 1.4731,               0.009289,               0.009289,               0.009289
                     82,                0.77115,                 1.0346,                 1.2937,                0.77802,                0.78939,                0.83049,                0.65512,                0.78925,                0.73907,                 1.4753,                0.00928,                0.00928,                0.00928
                     83,                0.77864,                 1.0423,                 1.3022,                0.76393,                0.80737,                0.83334,                 0.6593,                0.78578,                0.73414,                 1.4741,               0.009271,               0.009271,               0.009271
                     84,                0.77038,                 1.0306,                 1.2969,                0.76067,                0.81592,                0.83691,                0.66081,                0.78976,                0.73268,                 1.4833,               0.009262,               0.009262,               0.009262
                     85,                 0.7733,                 1.0289,                 1.2949,                0.79928,                0.76038,                0.83491,                0.65729,                0.79304,                0.73033,                 1.4879,               0.009253,               0.009253,               0.009253
                     86,                0.77066,                 1.0256,                 1.2922,                0.78026,                0.78766,                0.83363,                0.65855,                0.78825,                  0.733,                 1.4803,               0.009244,               0.009244,               0.009244
                     87,                0.76293,                  1.003,                 1.2856,                 0.7908,                0.78188,                0.83727,                0.66232,                0.78277,                0.72757,                  1.472,               0.009235,               0.009235,               0.009235
                     88,                0.77271,                 1.0289,                 1.2917,                0.78213,                0.79583,                0.83723,                0.66145,                0.77922,                0.72318,                 1.4702,               0.009226,               0.009226,               0.009226
                     89,                0.77356,                 1.0292,                  1.298,                0.79099,                0.77704,                0.83551,                0.66027,                0.78149,                0.73179,                 1.4728,               0.009217,               0.009217,               0.009217
