                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.77585,                 1.0286,                 1.3485,                0.78142,                0.80074,                0.83764,                0.66285,                0.78155,                0.71918,                 1.4693,               0.009316,               0.009316,               0.009316
                     79,                0.77089,                 1.0265,                 1.3385,                0.77058,                0.82123,                0.84103,                0.66588,                0.78028,                0.71348,                 1.4734,               0.009307,               0.009307,               0.009307
                     80,                0.77293,                  1.032,                 1.3479,                0.77837,                0.81355,                0.84445,                   0.67,                0.77487,                0.71472,                  1.463,               0.009298,               0.009298,               0.009298
                     81,                0.76978,                 1.0184,                 1.3404,                0.79451,                 0.8022,                0.84607,                0.67112,                  0.776,                0.71084,                 1.4635,               0.009289,               0.009289,               0.009289
                     82,                0.76585,                 1.0243,                 1.3368,                0.79096,                0.80561,                 0.8478,                0.67303,                0.77618,                0.70769,                  1.463,                0.00928,                0.00928,                0.00928
                     83,                0.77149,                 1.0271,                 1.3422,                0.79133,                0.80423,                0.84436,                0.67091,                0.77237,                0.70826,                 1.4604,               0.009271,               0.009271,               0.009271
                     84,                0.76723,                 1.0061,                 1.3357,                0.78722,                0.80106,                  0.844,                0.66839,                0.77489,                0.70969,                 1.4629,               0.009262,               0.009262,               0.009262
                     85,                0.76899,                 1.0076,                 1.3372,                0.78711,                0.81325,                0.84345,                0.66988,                0.77751,                0.70731,                 1.4648,               0.009253,               0.009253,               0.009253
                     86,                0.76424,                 1.0063,                 1.3352,                0.77592,                0.81492,                 0.8445,                0.67126,                 0.7713,                0.70691,                 1.4556,               0.009244,               0.009244,               0.009244
                     87,                0.76494,                 1.0012,                  1.328,                0.78756,                0.81244,                0.84708,                0.67246,                0.77559,                0.70276,                 1.4609,               0.009235,               0.009235,               0.009235
                     88,                0.76806,                 1.0151,                 1.3353,                 0.7884,                0.80846,                0.84643,                0.67171,                0.77019,                0.70002,                 1.4548,               0.009226,               0.009226,               0.009226
                     89,                0.76855,                 1.0036,                 1.3343,                0.80517,                0.79976,                0.84358,                0.67041,                0.77311,                0.70427,                 1.4596,               0.009217,               0.009217,               0.009217
                     90,                 0.7692,                 1.0111,                 1.3331,                0.79318,                0.80675,                0.84531,                0.67279,                0.77277,                0.70238,                 1.4593,               0.009208,               0.009208,               0.009208
                     91,                0.76687,                0.98887,                 1.3318,                0.79935,                0.80235,                 0.8487,                0.67693,                0.76695,                0.69406,                 1.4506,               0.009199,               0.009199,               0.009199
                     92,                0.76802,                 1.0045,                 1.3265,                0.79943,                 0.8107,                0.84988,                0.67642,                0.77174,                0.69282,                  1.461,                0.00919,                0.00919,                0.00919
                     93,                  0.764,                0.99235,                 1.3244,                0.80426,                0.79767,                0.84812,                0.67613,                0.77033,                0.69475,                 1.4589,               0.009181,               0.009181,               0.009181
                     94,                0.76313,                0.99309,                 1.3226,                0.79823,                0.80584,                0.84943,                0.67559,                0.77181,                0.69044,                 1.4626,               0.009172,               0.009172,               0.009172
                     95,                0.76798,                0.99954,                 1.3256,                0.80622,                0.80151,                0.85152,                0.67691,                0.77122,                0.68716,                 1.4598,               0.009163,               0.009163,               0.009163
                     96,                0.76185,                0.99338,                 1.3223,                0.80695,                0.79608,                0.85111,                0.67653,                0.77296,                0.68993,                  1.462,               0.009154,               0.009154,               0.009154
                     97,                0.76547,                0.99402,                 1.3252,                0.79164,                0.80912,                0.84877,                0.67419,                0.77265,                0.69258,                 1.4606,               0.009145,               0.009145,               0.009145
                     98,                0.76513,                0.98803,                 1.3197,                0.80018,                0.80554,                0.85073,                 0.6765,                 0.7715,                0.68872,                   1.46,               0.009136,               0.009136,               0.009136
                     99,                0.76027,                0.97528,                 1.3151,                0.80578,                0.79724,                0.85198,                0.67788,                0.77287,                0.68804,                 1.4598,               0.009127,               0.009127,               0.009127
                    100,                0.75695,                0.97379,                 1.3154,                0.79122,                 0.8088,                0.85407,                0.67967,                0.77277,                0.68473,                 1.4602,               0.009118,               0.009118,               0.009118
                    101,                0.76221,                0.97586,                 1.3193,                0.80887,                0.79629,                 0.8544,                0.68004,                0.77076,                0.68509,                 1.4549,               0.009109,               0.009109,               0.009109
                    102,                0.75239,                 0.9726,                 1.3096,                0.81825,                0.78475,                0.85198,                0.67886,                0.76881,                0.68516,                 1.4519,                 0.0091,                 0.0091,                 0.0091
                    103,                0.76142,                 0.9854,                 1.3156,                0.81345,                0.79068,                0.85208,                0.67955,                0.76969,                0.68264,                 1.4537,               0.009091,               0.009091,               0.009091
